2025-09-12 18:51:43 status unpacked gcc-11:amd64 11.4.0-1ubuntu1~22.04
2025-09-12 18:51:43 status half-installed gcc-11:amd64 11.4.0-1ubuntu1~22.04
2025-09-12 18:51:43 status unpacked gcc-11:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:43 upgrade libgcc-11-dev:amd64 11.4.0-1ubuntu1~22.04 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:43 status half-configured libgcc-11-dev:amd64 11.4.0-1ubuntu1~22.04
2025-09-12 18:51:43 status unpacked libgcc-11-dev:amd64 11.4.0-1ubuntu1~22.04
2025-09-12 18:51:43 status half-installed libgcc-11-dev:amd64 11.4.0-1ubuntu1~22.04
2025-09-12 18:51:43 status unpacked libgcc-11-dev:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:43 upgrade libtsan0:amd64 11.4.0-1ubuntu1~22.04 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:43 status half-configured libtsan0:amd64 11.4.0-1ubuntu1~22.04
2025-09-12 18:51:43 status unpacked libtsan0:amd64 11.4.0-1ubuntu1~22.04
2025-09-12 18:51:43 status half-installed libtsan0:amd64 11.4.0-1ubuntu1~22.04
2025-09-12 18:51:43 status unpacked libtsan0:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:43 upgrade cpp-11:amd64 11.4.0-1ubuntu1~22.04 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:43 status half-configured cpp-11:amd64 11.4.0-1ubuntu1~22.04
2025-09-12 18:51:43 status unpacked cpp-11:amd64 11.4.0-1ubuntu1~22.04
2025-09-12 18:51:43 status half-installed cpp-11:amd64 11.4.0-1ubuntu1~22.04
2025-09-12 18:51:44 status unpacked cpp-11:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 upgrade gcc-11-base:amd64 11.4.0-1ubuntu1~22.04 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 status half-configured gcc-11-base:amd64 11.4.0-1ubuntu1~22.04
2025-09-12 18:51:44 status unpacked gcc-11-base:amd64 11.4.0-1ubuntu1~22.04
2025-09-12 18:51:44 status half-installed gcc-11-base:amd64 11.4.0-1ubuntu1~22.04
2025-09-12 18:51:44 status unpacked gcc-11-base:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 startup packages configure
2025-09-12 18:51:44 configure gcc-11-base:amd64 11.4.0-1ubuntu1~22.04.2 <none>
2025-09-12 18:51:44 status unpacked gcc-11-base:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 status half-configured gcc-11-base:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 status installed gcc-11-base:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 configure libasan6:amd64 11.4.0-1ubuntu1~22.04.2 <none>
2025-09-12 18:51:44 status unpacked libasan6:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 status half-configured libasan6:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 status installed libasan6:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 configure libtsan0:amd64 11.4.0-1ubuntu1~22.04.2 <none>
2025-09-12 18:51:44 status unpacked libtsan0:amd64 11.4.0-1ubuntu1~22.04.2
