mode,fs,operation,iter_no,time_sec
native,source,getattr,43,0.000001482
native,source,getattr,44,0.000001410
native,source,getattr,45,0.000001462
native,source,getattr,46,0.000001583
native,source,getattr,47,0.000001552
native,source,getattr,48,0.000001416
native,source,getattr,49,0.000001626
native,source,getattr,50,0.000001463
fuse_passthrough,fuse,open,1,0.000439666
fuse_passthrough,fuse,open,2,0.000334175
fuse_passthrough,fuse,open,3,0.000348075
fuse_passthrough,fuse,open,4,0.000275484
fuse_passthrough,fuse,open,5,0.000249484
fuse_passthrough,fuse,open,6,0.000247662
fuse_passthrough,fuse,open,7,0.000349908
fuse_passthrough,fuse,open,8,0.000365938
fuse_passthrough,fuse,open,9,0.000363718
fuse_passthrough,fuse,open,10,0.000392782
fuse_passthrough,fuse,open,11,0.000396416
fuse_passthrough,fuse,open,12,0.000378773
fuse_passthrough,fuse,open,13,0.000511052
fuse_passthrough,fuse,open,14,0.000470606
fuse_passthrough,fuse,open,15,0.000339222
fuse_passthrough,fuse,open,16,0.000376982
fuse_passthrough,fuse,open,17,0.000406294
fuse_passthrough,fuse,open,18,0.000370446
fuse_passthrough,fuse,open,19,0.000286468
fuse_passthrough,fuse,open,20,0.000328694
fuse_passthrough,fuse,open,21,0.000384221
fuse_passthrough,fuse,open,22,0.000348170
fuse_passthrough,fuse,open,23,0.000427528
fuse_passthrough,fuse,open,24,0.000436552
fuse_passthrough,fuse,open,25,0.000327944
fuse_passthrough,fuse,open,26,0.000258528
fuse_passthrough,fuse,open,27,0.000376482
fuse_passthrough,fuse,open,28,0.000236343
fuse_passthrough,fuse,open,29,0.000374477
fuse_passthrough,fuse,open,30,0.000309900
fuse_passthrough,fuse,open,31,0.000322883
fuse_passthrough,fuse,open,32,0.000440117
fuse_passthrough,fuse,open,33,0.000336893
fuse_passthrough,fuse,open,34,0.000349535
fuse_passthrough,fuse,open,35,0.000328061
fuse_passthrough,fuse,open,36,0.000343370
fuse_passthrough,fuse,open,37,0.000296177
fuse_passthrough,fuse,open,38,0.000471787
fuse_passthrough,fuse,open,39,0.000391981
fuse_passthrough,fuse,open,40,0.000369594
fuse_passthrough,fuse,open,41,0.000431071
fuse_passthrough,fuse,open,42,0.000456132
fuse_passthrough,fuse,open,43,0.000343286
fuse_passthrough,fuse,open,44,0.000411514
fuse_passthrough,fuse,open,45,0.000123911
fuse_passthrough,fuse,open,46,0.000422595
fuse_passthrough,fuse,open,47,0.000446759
fuse_passthrough,fuse,open,48,0.000339518
fuse_passthrough,fuse,open,49,0.000290255
fuse_passthrough,fuse,open,50,0.000459157
fuse_passthrough,fuse,read,1,0.000154987
fuse_passthrough,fuse,read,2,0.000163867
fuse_passthrough,fuse,read,3,0.000148135
fuse_passthrough,fuse,read,4,0.000206638
fuse_passthrough,fuse,read,5,0.000107557
fuse_passthrough,fuse,read,6,0.000182582
fuse_passthrough,fuse,read,7,0.000173750
fuse_passthrough,fuse,read,8,0.000191046
fuse_passthrough,fuse,read,9,0.000159427
fuse_passthrough,fuse,read,10,0.000205794
fuse_passthrough,fuse,read,11,0.000188554
fuse_passthrough,fuse,read,12,0.000126752
fuse_passthrough,fuse,read,13,0.000145131
fuse_passthrough,fuse,read,14,0.000144982
fuse_passthrough,fuse,read,15,0.000156124
fuse_passthrough,fuse,read,16,0.000053384
fuse_passthrough,fuse,read,17,0.000127198
fuse_passthrough,fuse,read,18,0.000069188
fuse_passthrough,fuse,read,19,0.000056369
fuse_passthrough,fuse,read,20,0.000132609
fuse_passthrough,fuse,read,21,0.000055273
fuse_passthrough,fuse,read,22,0.000063567
fuse_passthrough,fuse,read,23,0.000134162
fuse_passthrough,fuse,read,24,0.000117501
fuse_passthrough,fuse,read,25,0.000148055
fuse_passthrough,fuse,read,26,0.000136439
fuse_passthrough,fuse,read,27,0.000173866
fuse_passthrough,fuse,read,28,0.000129162
fuse_passthrough,fuse,read,29,0.000127576
fuse_passthrough,fuse,read,30,0.000164437
fuse_passthrough,fuse,read,31,0.000151882
fuse_passthrough,fuse,read,32,0.000118025
fuse_passthrough,fuse,read,33,0.000157045
fuse_passthrough,fuse,read,34,0.000120043
fuse_passthrough,fuse,read,35,0.000139852
fuse_passthrough,fuse,read,36,0.000162503
fuse_passthrough,fuse,read,37,0.000191964
fuse_passthrough,fuse,read,38,0.000157148
fuse_passthrough,fuse,read,39,0.000133716
fuse_passthrough,fuse,read,40,0.000171691
fuse_passthrough,fuse,read,41,0.000152945
fuse_passthrough,fuse,read,42,0.000102309
fuse_passthrough,fuse,read,43,0.000189605
fuse_passthrough,fuse,read,44,0.000151955
fuse_passthrough,fuse,read,45,0.000128479
fuse_passthrough,fuse,read,46,0.000077111
fuse_passthrough,fuse,read,47,0.000098060
fuse_passthrough,fuse,read,48,0.000165725
fuse_passthrough,fuse,read,49,0.000231802
fuse_passthrough,fuse,read,50,0.000134040
fuse_passthrough,fuse,write,1,0.000374329
fuse_passthrough,fuse,write,2,0.000209561
fuse_passthrough,fuse,write,3,0.000180595
fuse_passthrough,fuse,write,4,0.000154303
fuse_passthrough,fuse,write,5,0.000160069
fuse_passthrough,fuse,write,6,0.000174503
fuse_passthrough,fuse,write,7,0.000107822
fuse_passthrough,fuse,write,8,0.000190841
fuse_passthrough,fuse,write,9,0.000122196
fuse_passthrough,fuse,write,10,0.000170901
fuse_passthrough,fuse,write,11,0.000070370
fuse_passthrough,fuse,write,12,0.000139032
fuse_passthrough,fuse,write,13,0.000143748
fuse_passthrough,fuse,write,14,0.000070412
fuse_passthrough,fuse,write,15,0.000072226
fuse_passthrough,fuse,write,16,0.000143496
fuse_passthrough,fuse,write,17,0.000063708
fuse_passthrough,fuse,write,18,0.000199656
fuse_passthrough,fuse,write,19,0.000154211
fuse_passthrough,fuse,write,20,0.000176812
fuse_passthrough,fuse,write,21,0.000131728
fuse_passthrough,fuse,write,22,0.000071159
fuse_passthrough,fuse,write,23,0.000123610
fuse_passthrough,fuse,write,24,0.000108263
fuse_passthrough,fuse,write,25,0.000205951
fuse_passthrough,fuse,write,26,0.000135859
fuse_passthrough,fuse,write,27,0.000205146
fuse_passthrough,fuse,write,28,0.000218101
fuse_passthrough,fuse,write,29,0.000114038
fuse_passthrough,fuse,write,30,0.000170937
fuse_passthrough,fuse,write,31,0.000183993
fuse_passthrough,fuse,write,32,0.000196407
fuse_passthrough,fuse,write,33,0.000237703
fuse_passthrough,fuse,write,34,0.000204101
fuse_passthrough,fuse,write,35,0.000103301
fuse_passthrough,fuse,write,36,0.000160163
fuse_passthrough,fuse,write,37,0.000236560
fuse_passthrough,fuse,write,38,0.000281247
fuse_passthrough,fuse,write,39,0.000175342
fuse_passthrough,fuse,write,40,0.000191837
fuse_passthrough,fuse,write,41,0.000198752
fuse_passthrough,fuse,write,42,0.000173047
fuse_passthrough,fuse,write,43,0.000240323
fuse_passthrough,fuse,write,44,0.000174132
fuse_passthrough,fuse,write,45,0.000205249
fuse_passthrough,fuse,write,46,0.000119987
fuse_passthrough,fuse,write,47,0.000158496
fuse_passthrough,fuse,write,48,0.000120185
fuse_passthrough,fuse,write,49,0.000203353
fuse_passthrough,fuse,write,50,0.000152947
fuse_passthrough,fuse,getattr,1,0.000004749
fuse_passthrough,fuse,getattr,2,0.000001567
fuse_passthrough,fuse,getattr,3,0.000001731
fuse_passthrough,fuse,getattr,4,0.000002185
fuse_passthrough,fuse,getattr,5,0.000001637
fuse_passthrough,fuse,getattr,6,0.000001574
fuse_passthrough,fuse,getattr,7,0.000001429
fuse_passthrough,fuse,getattr,8,0.000001402
fuse_passthrough,fuse,getattr,9,0.000001560
fuse_passthrough,fuse,getattr,10,0.000001451
fuse_passthrough,fuse,getattr,11,0.000001381
fuse_passthrough,fuse,getattr,12,0.000001575
fuse_passthrough,fuse,getattr,13,0.000001500
fuse_passthrough,fuse,getattr,14,0.000001345
fuse_passthrough,fuse,getattr,15,0.000001334
fuse_passthrough,fuse,getattr,16,0.000001495
fuse_passthrough,fuse,getattr,17,0.000001529
fuse_passthrough,fuse,getattr,18,0.000001442
fuse_passthrough,fuse,getattr,19,0.000001364
fuse_passthrough,fuse,getattr,20,0.000001326
fuse_passthrough,fuse,getattr,21,0.000001524
fuse_passthrough,fuse,getattr,22,0.000001377
fuse_passthrough,fuse,getattr,23,0.000001399
fuse_passthrough,fuse,getattr,24,0.000001432
fuse_passthrough,fuse,getattr,25,0.000001462
fuse_passthrough,fuse,getattr,26,0.000001325
fuse_passthrough,fuse,getattr,27,0.000001523
fuse_passthrough,fuse,getattr,28,0.000001405
fuse_passthrough,fuse,getattr,29,0.000001463
fuse_passthrough,fuse,getattr,30,0.000001433
fuse_passthrough,fuse,getattr,31,0.000001622
fuse_passthrough,fuse,getattr,32,0.000001530
fuse_passthrough,fuse,getattr,33,0.000001403
fuse_passthrough,fuse,getattr,34,0.000001441
fuse_passthrough,fuse,getattr,35,0.000001516
fuse_passthrough,fuse,getattr,36,0.000001409
fuse_passthrough,fuse,getattr,37,0.000001497
fuse_passthrough,fuse,getattr,38,0.000001876
fuse_passthrough,fuse,getattr,39,0.000001322
fuse_passthrough,fuse,getattr,40,0.000001411
fuse_passthrough,fuse,getattr,41,0.000001405
fuse_passthrough,fuse,getattr,42,0.000001448
fuse_passthrough,fuse,getattr,43,0.000001419
fuse_passthrough,fuse,getattr,44,0.000001451
fuse_passthrough,fuse,getattr,45,0.000001501
fuse_passthrough,fuse,getattr,46,0.000001354
fuse_passthrough,fuse,getattr,47,0.000001400
fuse_passthrough,fuse,getattr,48,0.000001563
fuse_passthrough,fuse,getattr,49,0.000003050
fuse_passthrough,fuse,getattr,50,0.000001329
fuse_rot13,fuse,open,1,0.000302186
fuse_rot13,fuse,open,2,0.000355629
fuse_rot13,fuse,open,3,0.000438629
fuse_rot13,fuse,open,4,0.000230296
fuse_rot13,fuse,open,5,0.000249283
fuse_rot13,fuse,open,6,0.000506005
fuse_rot13,fuse,open,7,0.000368739
fuse_rot13,fuse,open,8,0.000359265
fuse_rot13,fuse,open,9,0.000213346
fuse_rot13,fuse,open,10,0.000343977
fuse_rot13,fuse,open,11,0.000393346
fuse_rot13,fuse,open,12,0.000306735
fuse_rot13,fuse,open,13,0.000333941
fuse_rot13,fuse,open,14,0.000375721
fuse_rot13,fuse,open,15,0.000230131
fuse_rot13,fuse,open,16,0.000376827
fuse_rot13,fuse,open,17,0.000310397
fuse_rot13,fuse,open,18,0.000559377
fuse_rot13,fuse,open,19,0.000329271
fuse_rot13,fuse,open,20,0.000343908
fuse_rot13,fuse,open,21,0.000221869
fuse_rot13,fuse,open,22,0.000347260
fuse_rot13,fuse,open,23,0.000223139
fuse_rot13,fuse,open,24,0.000367592
fuse_rot13,fuse,open,25,0.000360641
fuse_rot13,fuse,open,26,0.000320289
fuse_rot13,fuse,open,27,0.000227725
fuse_rot13,fuse,open,28,0.000317177
fuse_rot13,fuse,open,29,0.000238608
fuse_rot13,fuse,open,30,0.000348752
fuse_rot13,fuse,open,31,0.000259386
fuse_rot13,fuse,open,32,0.000235729
fuse_rot13,fuse,open,33,0.000344093
fuse_rot13,fuse,open,34,0.000267557
fuse_rot13,fuse,open,35,0.000304635
fuse_rot13,fuse,open,36,0.000359089
fuse_rot13,fuse,open,37,0.000373721
fuse_rot13,fuse,open,38,0.000297839
fuse_rot13,fuse,open,39,0.000345519
fuse_rot13,fuse,open,40,0.000451669
fuse_rot13,fuse,open,41,0.000286593
fuse_rot13,fuse,open,42,0.000247857
fuse_rot13,fuse,open,43,0.000241181
fuse_rot13,fuse,open,44,0.000409215
fuse_rot13,fuse,open,45,0.000284127
fuse_rot13,fuse,open,46,0.000349988
fuse_rot13,fuse,open,47,0.000377275
fuse_rot13,fuse,open,48,0.000108097
fuse_rot13,fuse,open,49,0.000334344
fuse_rot13,fuse,open,50,0.000204202
fuse_rot13,fuse,read,1,0.000168056
fuse_rot13,fuse,read,2,0.000068601
fuse_rot13,fuse,read,3,0.000066148
fuse_rot13,fuse,read,4,0.000126052
fuse_rot13,fuse,read,5,0.000140230
fuse_rot13,fuse,read,6,0.000123890
fuse_rot13,fuse,read,7,0.000132402
fuse_rot13,fuse,read,8,0.000059608
fuse_rot13,fuse,read,9,0.000127323
fuse_rot13,fuse,read,10,0.000141665
fuse_rot13,fuse,read,11,0.000139088
fuse_rot13,fuse,read,12,0.000164242
fuse_rot13,fuse,read,13,0.000162070
fuse_rot13,fuse,read,14,0.000164033
fuse_rot13,fuse,read,15,0.000155502
fuse_rot13,fuse,read,16,0.000118214
fuse_rot13,fuse,read,17,0.000113714
fuse_rot13,fuse,read,18,0.000125323
fuse_rot13,fuse,read,19,0.000176300
fuse_rot13,fuse,read,20,0.000216681
fuse_rot13,fuse,read,21,0.000060928
fuse_rot13,fuse,read,22,0.000083539
fuse_rot13,fuse,read,23,0.000172660
fuse_rot13,fuse,read,24,0.000059750
fuse_rot13,fuse,read,25,0.000059225
fuse_rot13,fuse,read,26,0.000057044
fuse_rot13,fuse,read,27,0.000243585
fuse_rot13,fuse,read,28,0.000061205
fuse_rot13,fuse,read,29,0.000120186
fuse_rot13,fuse,read,30,0.000144402
fuse_rot13,fuse,read,31,0.000140191
fuse_rot13,fuse,read,32,0.000119422
fuse_rot13,fuse,read,33,0.000121669
fuse_rot13,fuse,read,34,0.000152301
fuse_rot13,fuse,read,35,0.000135846
fuse_rot13,fuse,read,36,0.000164567
fuse_rot13,fuse,read,37,0.000134565
fuse_rot13,fuse,read,38,0.000116329
fuse_rot13,fuse,read,39,0.000065364
fuse_rot13,fuse,read,40,0.000116912
fuse_rot13,fuse,read,41,0.000126769
fuse_rot13,fuse,read,42,0.000213191
fuse_rot13,fuse,read,43,0.000137686
fuse_rot13,fuse,read,44,0.000071232
fuse_rot13,fuse,read,45,0.000215027
fuse_rot13,fuse,read,46,0.000059062
fuse_rot13,fuse,read,47,0.000178756
fuse_rot13,fuse,read,48,0.000142573
fuse_rot13,fuse,read,49,0.000066249
fuse_rot13,fuse,read,50,0.000127217
fuse_rot13,fuse,write,1,0.000208043
fuse_rot13,fuse,write,2,0.000206631
fuse_rot13,fuse,write,3,0.000175319
fuse_rot13,fuse,write,4,0.000243047
