mode,fs,operation,iter_no,time_sec
native,source,open,199,0.000005489
native,source,open,200,0.000004626
native,source,read,1,0.000002995
native,source,read,2,0.000003031
native,source,read,3,0.000003893
native,source,read,4,0.000003682
native,source,read,5,0.000002779
native,source,read,6,0.000002847
native,source,read,7,0.000003348
native,source,read,8,0.000003427
native,source,read,9,0.000002961
native,source,read,10,0.000003011
native,source,read,11,0.000003034
native,source,read,12,0.000002949
native,source,read,13,0.000004285
native,source,read,14,0.000003270
native,source,read,15,0.000003539
native,source,read,16,0.000003415
native,source,read,17,0.000002933
native,source,read,18,0.000002868
native,source,read,19,0.000003270
native,source,read,20,0.000003113
native,source,read,21,0.000004034
native,source,read,22,0.000003344
native,source,read,23,0.000003244
native,source,read,24,0.000003330
native,source,read,25,0.000003067
native,source,read,26,0.000003924
native,source,read,27,0.000003012
native,source,read,28,0.000003926
native,source,read,29,0.000002633
native,source,read,30,0.000003261
native,source,read,31,0.000002938
native,source,read,32,0.000006269
native,source,read,33,0.000004769
native,source,read,34,0.000002790
native,source,read,35,0.000003824
native,source,read,36,0.000007859
native,source,read,37,0.000003073
native,source,read,38,0.000002893
native,source,read,39,0.000003800
native,source,read,40,0.000002883
native,source,read,41,0.000003065
native,source,read,42,0.000025478
native,source,read,43,0.000002674
native,source,read,44,0.000002789
native,source,read,45,0.000002786
native,source,read,46,0.000004744
native,source,read,47,0.000005039
native,source,read,48,0.000002895
native,source,read,49,0.000002643
native,source,read,50,0.000003718
native,source,read,51,0.000002720
native,source,read,52,0.000002899
native,source,read,53,0.000002891
native,source,read,54,0.000002676
native,source,read,55,0.000003735
native,source,read,56,0.000003753
native,source,read,57,0.000002887
native,source,read,58,0.000003073
native,source,read,59,0.000002876
native,source,read,60,0.000003012
native,source,read,61,0.000003449
native,source,read,62,0.000002399
native,source,read,63,0.000002813
native,source,read,64,0.000002674
native,source,read,65,0.000004282
native,source,read,66,0.000004825
native,source,read,67,0.000006532
native,source,read,68,0.000003092
native,source,read,69,0.000004610
native,source,read,70,0.000002919
native,source,read,71,0.000003454
native,source,read,72,0.000003037
native,source,read,73,0.000003933
native,source,read,74,0.000002827
native,source,read,75,0.000002985
native,source,read,76,0.000003642
native,source,read,77,0.000002672
native,source,read,78,0.000003618
native,source,read,79,0.000002644
native,source,read,80,0.000004065
native,source,read,81,0.000003608
native,source,read,82,0.000022116
native,source,read,83,0.000003269
native,source,read,84,0.000003055
native,source,read,85,0.000002804
native,source,read,86,0.000002663
native,source,read,87,0.000002723
native,source,read,88,0.000003158
native,source,read,89,0.000003043
native,source,read,90,0.000003815
native,source,read,91,0.000003052
native,source,read,92,0.000002733
native,source,read,93,0.000014728
native,source,read,94,0.000003100
native,source,read,95,0.000002965
native,source,read,96,0.000002889
native,source,read,97,0.000003056
native,source,read,98,0.000003362
native,source,read,99,0.000002792
native,source,read,100,0.000003091
native,source,read,101,0.000002930
native,source,read,102,0.000003856
native,source,read,103,0.000003036
native,source,read,104,0.000002864
native,source,read,105,0.000003352
native,source,read,106,0.000003665
native,source,read,107,0.000003372
native,source,read,108,0.000003175
native,source,read,109,0.000002595
native,source,read,110,0.000002872
native,source,read,111,0.000002965
native,source,read,112,0.000003047
native,source,read,113,0.000002998
native,source,read,114,0.000002674
native,source,read,115,0.000003590
native,source,read,116,0.000002623
native,source,read,117,0.000003083
native,source,read,118,0.000002617
native,source,read,119,0.000003592
native,source,read,120,0.000002893
native,source,read,121,0.000002749
native,source,read,122,0.000003412
native,source,read,123,0.000003472
native,source,read,124,0.000003344
native,source,read,125,0.000003063
native,source,read,126,0.000002944
native,source,read,127,0.000002736
native,source,read,128,0.000002864
native,source,read,129,0.000005721
native,source,read,130,0.000003409
native,source,read,131,0.000002743
native,source,read,132,0.000003710
native,source,read,133,0.000003525
native,source,read,134,0.000004049
native,source,read,135,0.000002810
native,source,read,136,0.000002842
native,source,read,137,0.000002975
native,source,read,138,0.000003077
native,source,read,139,0.000002790
native,source,read,140,0.000002810
native,source,read,141,0.000038000
native,source,read,142,0.000003005
native,source,read,143,0.000002584
native,source,read,144,0.000003748
native,source,read,145,0.000002892
native,source,read,146,0.000003862
native,source,read,147,0.000003008
native,source,read,148,0.000004398
native,source,read,149,0.000002829
native,source,read,150,0.000003131
native,source,read,151,0.000002966
native,source,read,152,0.000002977
native,source,read,153,0.000004110
native,source,read,154,0.000002522
native,source,read,155,0.000003166
native,source,read,156,0.000003163
native,source,read,157,0.000003682
native,source,read,158,0.000002710
native,source,read,159,0.000002897
native,source,read,160,0.000007965
native,source,read,161,0.000005063
native,source,read,162,0.000003113
native,source,read,163,0.000003459
native,source,read,164,0.000003432
native,source,read,165,0.000003127
native,source,read,166,0.000002817
native,source,read,167,0.000003682
native,source,read,168,0.000003355
native,source,read,169,0.000003082
native,source,read,170,0.000004565
native,source,read,171,0.000003146
native,source,read,172,0.000003130
native,source,read,173,0.000003039
native,source,read,174,0.000002792
native,source,read,175,0.000003528
native,source,read,176,0.000003029
native,source,read,177,0.000003579
native,source,read,178,0.000002905
native,source,read,179,0.000003226
native,source,read,180,0.000003387
native,source,read,181,0.000003282
native,source,read,182,0.000003253
native,source,read,183,0.000003326
native,source,read,184,0.000003688
native,source,read,185,0.000004622
native,source,read,186,0.000003578
native,source,read,187,0.000003353
native,source,read,188,0.000002955
native,source,read,189,0.000003146
native,source,read,190,0.000003700
native,source,read,191,0.000003704
native,source,read,192,0.000003306
native,source,read,193,0.000002947
native,source,read,194,0.000003488
native,source,read,195,0.000003588
native,source,read,196,0.000003311
native,source,read,197,0.000002872
native,source,read,198,0.000004366
native,source,read,199,0.000002962
native,source,read,200,0.000003803
native,source,write,1,0.000020268
native,source,write,2,0.000019700
native,source,write,3,0.000029426
native,source,write,4,0.000018053
native,source,write,5,0.000018177
native,source,write,6,0.000018849
native,source,write,7,0.000017871
native,source,write,8,0.000020065
native,source,write,9,0.000020507
native,source,write,10,0.000058976
native,source,write,11,0.000022141
native,source,write,12,0.000019760
native,source,write,13,0.000018364
native,source,write,14,0.000020092
native,source,write,15,0.000017686
native,source,write,16,0.000018327
native,source,write,17,0.000019305
native,source,write,18,0.000019451
native,source,write,19,0.000017230
native,source,write,20,0.000017479
native,source,write,21,0.000023412
native,source,write,22,0.000018648
native,source,write,23,0.000019433
native,source,write,24,0.000020436
native,source,write,25,0.000018374
native,source,write,26,0.000019340
native,source,write,27,0.000016376
native,source,write,28,0.000018898
native,source,write,29,0.000021549
native,source,write,30,0.000018842
native,source,write,31,0.000019960
native,source,write,32,0.000019145
native,source,write,33,0.000020375
native,source,write,34,0.000017310
native,source,write,35,0.000021049
native,source,write,36,0.000020476
native,source,write,37,0.000040690
native,source,write,38,0.000019632
native,source,write,39,0.000019373
native,source,write,40,0.000016485
native,source,write,41,0.000021089
native,source,write,42,0.000019268
native,source,write,43,0.000020721
native,source,write,44,0.000019737
native,source,write,45,0.000020801
native,source,write,46,0.000021788
native,source,write,47,0.000018499
native,source,write,48,0.000019443
native,source,write,49,0.000020667
native,source,write,50,0.000018819
native,source,write,51,0.000017456
native,source,write,52,0.000018730
native,source,write,53,0.000020122
native,source,write,54,0.000017225
native,source,write,55,0.000018645
native,source,write,56,0.000018469
native,source,write,57,0.000026659
native,source,write,58,0.000017580
native,source,write,59,0.000021656
native,source,write,60,0.000020428
native,source,write,61,0.000020802
native,source,write,62,0.000018241
native,source,write,63,0.000019733
native,source,write,64,0.000022224
native,source,write,65,0.000017365
native,source,write,66,0.000019438
native,source,write,67,0.000026724
native,source,write,68,0.000017527
native,source,write,69,0.000020315
native,source,write,70,0.000026184
native,source,write,71,0.000020636
native,source,write,72,0.000014916
native,source,write,73,0.000020757
native,source,write,74,0.000021981
native,source,write,75,0.000016476
native,source,write,76,0.000019337
native,source,write,77,0.000018865
native,source,write,78,0.000016301
native,source,write,79,0.000032485
native,source,write,80,0.000018509
native,source,write,81,0.000020916
native,source,write,82,0.000019757
native,source,write,83,0.000018719
native,source,write,84,0.000017522
native,source,write,85,0.000042911
native,source,write,86,0.000021021
native,source,write,87,0.000018227
native,source,write,88,0.000019479
native,source,write,89,0.000020177
native,source,write,90,0.000017534
native,source,write,91,0.000034013
native,source,write,92,0.000028936
native,source,write,93,0.000020635
native,source,write,94,0.000029730
native,source,write,95,0.000018367
native,source,write,96,0.000017128
native,source,write,97,0.000020043
native,source,write,98,0.000021859
native,source,write,99,0.000042954
native,source,write,100,0.000018817
native,source,write,101,0.000018779
native,source,write,102,0.000023730
native,source,write,103,0.000021470
native,source,write,104,0.000023703
native,source,write,105,0.000019006
native,source,write,106,0.000021195
native,source,write,107,0.000023771
native,source,write,108,0.000020042
native,source,write,109,0.000020771
native,source,write,110,0.000021497
native,source,write,111,0.000019156
native,source,write,112,0.000019546
native,source,write,113,0.000019565
native,source,write,114,0.000017508
native,source,write,115,0.000022688
native,source,write,116,0.000017497
native,source,write,117,0.000019020
native,source,write,118,0.000017789
native,source,write,119,0.000018698
native,source,write,120,0.000019503
native,source,write,121,0.000017682
native,source,write,122,0.000019182
native,source,write,123,0.000020738
native,source,write,124,0.000025876
native,source,write,125,0.000017256
native,source,write,126,0.000039531
native,source,write,127,0.000020912
native,source,write,128,0.000020372
native,source,write,129,0.000023951
native,source,write,130,0.000020252
native,source,write,131,0.000023588
native,source,write,132,0.000017370
native,source,write,133,0.000018457
native,source,write,134,0.000018059
native,source,write,135,0.000023398
native,source,write,136,0.000017214
native,source,write,137,0.000020625
native,source,write,138,0.000021374
native,source,write,139,0.000048563
native,source,write,140,0.000018123
native,source,write,141,0.000020258
native,source,write,142,0.000017148
native,source,write,143,0.000020919
native,source,write,144,0.000021928
native,source,write,145,0.000025359
native,source,write,146,0.000018720
native,source,write,147,0.000021134
native,source,write,148,0.000020205
native,source,write,149,0.000019427
native,source,write,150,0.000020730
native,source,write,151,0.000020993
native,source,write,152,0.000019908
native,source,write,153,0.000046275
native,source,write,154,0.000018383
native,source,write,155,0.000089029
native,source,write,156,0.000027604
native,source,write,157,0.000018321
native,source,write,158,0.000018124
native,source,write,159,0.000019625
native,source,write,160,0.000019360
native,source,write,161,0.000039099
native,source,write,162,0.000018424
native,source,write,163,0.000017977
native,source,write,164,0.000017943
native,source,write,165,0.000017928
native,source,write,166,0.000019354
native,source,write,167,0.000017996
native,source,write,168,0.000018623
native,source,write,169,0.000018133
native,source,write,170,0.000017999
native,source,write,171,0.000019684
native,source,write,172,0.000018754
native,source,write,173,0.000021095
native,source,write,174,0.000019217
native,source,write,175,0.000021492
native,source,write,176,0.000019417
native,source,write,177,0.000017444
native,source,write,178,0.000019986
native,source,write,179,0.000018459
native,source,write,180,0.000021306
native,source,write,181,0.000018576
native,source,write,182,0.000018629
native,source,write,183,0.000026800
native,source,write,184,0.000018243
native,source,write,185,0.000018675
native,source,write,186,0.000019694
native,source,write,187,0.000026531
native,source,write,188,0.000020468
native,source,write,189,0.000017434
native,source,write,190,0.000019565
native,source,write,191,0.000021083
native,source,write,192,0.000072750
native,source,write,193,0.000021219
native,source,write,194,0.000039464
native,source,write,195,0.000020796
native,source,write,196,0.000020538
native,source,write,197,0.000018279
native,source,write,198,0.000018934
native,source,write,199,0.000020139
native,source,write,200,0.000021763
native,source,getattr,1,0.000001300
native,source,getattr,2,0.000001473
native,source,getattr,3,0.000001451
native,source,getattr,4,0.000001409
native,source,getattr,5,0.000001474
native,source,getattr,6,0.000001520
native,source,getattr,7,0.000001520
native,source,getattr,8,0.000001434
native,source,getattr,9,0.000001443
native,source,getattr,10,0.000001490
native,source,getattr,11,0.000002196
native,source,getattr,12,0.000001456
native,source,getattr,13,0.000001446
native,source,getattr,14,0.000001514
native,source,getattr,15,0.000001432
native,source,getattr,16,0.000001406
native,source,getattr,17,0.000001426
native,source,getattr,18,0.000001832
native,source,getattr,19,0.000001491
native,source,getattr,20,0.000001541
native,source,getattr,21,0.000001556
native,source,getattr,22,0.000001513
native,source,getattr,23,0.000001563
native,source,getattr,24,0.000001586
native,source,getattr,25,0.000001574
native,source,getattr,26,0.000001483
native,source,getattr,27,0.000001537
native,source,getattr,28,0.000001534
native,source,getattr,29,0.000001580
native,source,getattr,30,0.000001540
native,source,getattr,31,0.000001503
