2025-11-23 15:27:51 status installed libprotobuf-dev:amd64 3.12.4-1ubuntu7.22.04.4
2025-11-23 15:27:51 configure protoc-gen-go:amd64 1.27.1-1ubuntu0.1 <none>
2025-11-23 15:27:51 status unpacked protoc-gen-go:amd64 1.27.1-1ubuntu0.1
2025-11-23 15:27:51 status half-configured protoc-gen-go:amd64 1.27.1-1ubuntu0.1
2025-11-23 15:27:51 status installed protoc-gen-go:amd64 1.27.1-1ubuntu0.1
2025-11-23 15:27:51 trigproc man-db:amd64 2.10.2-1 <none>
2025-11-23 15:27:51 status half-configured man-db:amd64 2.10.2-1
2025-11-23 15:27:51 status installed man-db:amd64 2.10.2-1
2025-11-23 15:27:51 trigproc libc-bin:amd64 2.35-0ubuntu3.8 <none>
2025-11-23 15:27:51 status half-configured libc-bin:amd64 2.35-0ubuntu3.8
2025-11-23 15:27:51 status installed libc-bin:amd64 2.35-0ubuntu3.8
