2022-02-23 08:47:05 startup archives install
2022-02-23 08:47:05 install perl-base:amd64 <none> 5.30.0-9build1
2022-02-23 08:47:05 status half-installed perl-base:amd64 5.30.0-9build1
2022-02-23 08:47:05 status unpacked perl-base:amd64 5.30.0-9build1
2022-02-23 08:47:05 configure perl-base:amd64 5.30.0-9build1 5.30.0-9build1
2022-02-23 08:47:05 status half-configured perl-base:amd64 5.30.0-9build1
2022-02-23 08:47:05 status installed perl-base:amd64 5.30.0-9build1
2022-02-23 08:47:05 startup archives install
2022-02-23 08:47:05 install mawk:amd64 <none> 1.3.4.20200120-2
2022-02-23 08:47:05 status half-installed mawk:amd64 1.3.4.20200120-2
2022-02-23 08:47:05 status unpacked mawk:amd64 1.3.4.20200120-2
2022-02-23 08:47:05 configure mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2022-02-23 08:47:05 status half-configured mawk:amd64 1.3.4.20200120-2
2022-02-23 08:47:05 status installed mawk:amd64 1.3.4.20200120-2
2022-02-23 08:47:06 startup archives install
2022-02-23 08:47:06 install debconf:all <none> 1.5.73
2022-02-23 08:47:06 status half-installed debconf:all 1.5.73
2022-02-23 08:47:06 status unpacked debconf:all 1.5.73
2022-02-23 08:47:06 configure debconf:all 1.5.73 1.5.73
2022-02-23 08:47:06 status half-configured debconf:all 1.5.73
2022-02-23 08:47:06 status installed debconf:all 1.5.73
2022-02-23 08:47:06 startup archives unpack
2022-02-23 08:47:06 upgrade base-files:amd64 11ubuntu5 11ubuntu5
2022-02-23 08:47:06 status half-configured base-files:amd64 11ubuntu5
2022-02-23 08:47:06 status unpacked base-files:amd64 11ubuntu5
2022-02-23 08:47:06 status half-installed base-files:amd64 11ubuntu5
2022-02-23 08:47:06 status unpacked base-files:amd64 11ubuntu5
2022-02-23 08:47:06 upgrade base-passwd:amd64 3.5.47 3.5.47
2022-02-23 08:47:06 status half-configured base-passwd:amd64 3.5.47
2022-02-23 08:47:06 status unpacked base-passwd:amd64 3.5.47
2022-02-23 08:47:06 status half-installed base-passwd:amd64 3.5.47
2022-02-23 08:47:06 status unpacked base-passwd:amd64 3.5.47
2022-02-23 08:47:06 install bash:amd64 <none> 5.0-6ubuntu1
2022-02-23 08:47:06 status half-installed bash:amd64 5.0-6ubuntu1
2022-02-23 08:47:06 status unpacked bash:amd64 5.0-6ubuntu1
2022-02-23 08:47:06 install bsdutils:amd64 <none> 1:2.34-0.1ubuntu9
2022-02-23 08:47:06 status half-installed bsdutils:amd64 1:2.34-0.1ubuntu9
2022-02-23 08:47:06 status unpacked bsdutils:amd64 1:2.34-0.1ubuntu9
2022-02-23 08:47:06 install coreutils:amd64 <none> 8.30-3ubuntu2
2022-02-23 08:47:06 status half-installed coreutils:amd64 8.30-3ubuntu2
2022-02-23 08:47:06 status unpacked coreutils:amd64 8.30-3ubuntu2
2022-02-23 08:47:06 install dash:amd64 <none> 0.5.10.2-6
2022-02-23 08:47:06 status half-installed dash:amd64 0.5.10.2-6
2022-02-23 08:47:06 status unpacked dash:amd64 0.5.10.2-6
