2025/12/17 22:53:22 Starting supervisor with config: config/config.json, workers: 4
2025/12/17 22:53:24 [worker 3] tick=140 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:24 [worker 2] tick=140 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:24 [worker 0] tick=140 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:24 [worker 1] tick=150 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:24 [worker 3] tick=150 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:24 [worker 2] tick=150 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:24 [worker 0] tick=150 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:24 [worker 1] tick=160 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:24 [worker 3] tick=160 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:24 [worker 2] tick=160 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:24 [worker 0] tick=160 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:24 [worker 1] tick=170 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:24 [worker 3] tick=170 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:24 [worker 2] tick=170 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 0] tick=170 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:25 [worker 1] tick=180 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 3] tick=180 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 2] tick=180 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 0] tick=180 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:25 [worker 1] tick=190 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 2] tick=190 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 3] tick=190 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 0] tick=190 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:25 [worker 1] tick=200 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 3] tick=200 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 2] tick=200 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 0] tick=200 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:25 [worker 1] tick=210 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 3] tick=210 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 2] tick=210 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 0] tick=210 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:25 [worker 1] tick=220 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 3] tick=220 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 2] tick=220 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 0] tick=220 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:25 [worker 1] tick=230 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 3] tick=230 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 2] tick=230 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 0] tick=230 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:25 [worker 1] tick=240 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 3] tick=240 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 2] tick=240 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 0] tick=240 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:25 [worker 1] tick=250 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 3] tick=250 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 2] tick=250 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:25 [worker 0] tick=250 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:26 [worker 1] tick=260 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 3] tick=260 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 2] tick=260 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 0] tick=260 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:26 [worker 1] tick=270 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 3] tick=270 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 2] tick=270 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 0] tick=270 mode=heavy work_us=9000 sleep_us=1000 cpu=0
